feature_id,epic,user_story,expected_behavior,implementation_status,source,suggested_test,test_status,error,fix_status,retest_status
client_state_dto,Client Contract,"As a client author I can render game state without importing domain types","State projects match id, version, seats, phase, trump, table, hand, counters, result, and legal action DTOs with primitive/string fields",implemented,"internal/app/client/state.go; internal/app/view.go","go test ./internal/app/client; make check",passed,"Initial make check failed on gocritic hugeParam for StateFromDecision/resultString","fixed by pointer parameters",passed
client_submit_action,Client Contract,"As a local client I can submit the currently displayed legal action id","SubmitAction maps a one-based action id from the current state to Session.ApplyAction and increments version only after accepted actions",implemented,"internal/app/client/local.go; internal/app/session.go","go test ./internal/app/client; make check",passed,"Initial make check failed on gocritic hugeParam for LocalGameOptions","fixed by pointer options",passed
client_advance_controllers,Client Contract,"As a local human I can wait while controller seats play their turns","Advance polls the active controller seat using CLI/runner phase order until the human has legal actions or the match completes",implemented,"internal/app/client/local.go; internal/app/client/turns.go; internal/app/runner.go; internal/adapters/cli/game.go","go test ./internal/app/client; make check",passed,"Initial make check failed on intrange/style warnings in Advance helpers","fixed by integer range and combined parameter types",passed
client_concede_next,Client Contract,"As a local client I can concede and continue the series","Concede completes the current match for the human seat; NextMatch records the result and starts the next consecutive match",implemented,"internal/app/client/local.go; internal/app/series.go","go test ./internal/app/client; make check",passed,"Initial unit test expected match-2 while existing base-id contract produced match-1-2","fixed test expectation to base-plus-suffix naming",passed
tui_entrypoint,TUI Prototype,"As a local player I can launch a TUI prototype","durak tui parses seed, seats, human-seat, rules, bot, pN, and AI flags, creates client.LocalGame, and starts Bubble Tea",implemented,"cmd/durak/tui.go; cmd/durak/main.go; internal/adapters/tui/model.go","go test ./cmd/durak ./internal/adapters/tui; make check; printf q | go run ./cmd/durak tui -seed 42 -bot simple",passed,"context7 docs token expired; verified Bubble Tea API via go doc from installed module",fixed by go doc fallback,passed
tui_render_state,TUI Prototype,"As a local player I can inspect the current TUI game state","TUI view renders match/version, phase, seats, trump, table, hand, counters, legal action IDs, errors, and result",implemented,"internal/adapters/tui/model.go; internal/adapters/tui/model_test.go","go test ./internal/adapters/tui; make check",passed,"Initial make check failed on gocritic hugeParam for Bubble Tea value receivers","fixed by pointer receiver model",passed
tui_submit_action,TUI Prototype,"As a local player I can submit visible actions from the TUI","Pressing a visible single-digit action id submits through client.LocalGame and advances controller turns",implemented,"internal/adapters/tui/model.go; internal/app/client/local.go","go test ./internal/adapters/tui; printf 1q | go run ./cmd/durak tui -seed 42 -bot simple",passed,"Pipe smoke with 1q hung because pasted runes arrived as one KeyMsg","fixed by splitting multi-rune KeyMsg input",passed
tui_next_quit,TUI Prototype,"As a local player I can continue or exit after a match","q exits, c concedes, n starts the next match from complete state",implemented,"internal/adapters/tui/model.go","go test ./internal/adapters/tui ./cmd/durak; make check",passed,,not_needed,passed
protocol_adr,Protocol Freeze,"As a product/engineering owner I know whether to freeze protobuf now","ADR compares proven client DTOs against CLI, TUI, daemon, and future non-Go frontend needs, and records the decision to defer protobuf until a real process/frontend boundary appears",documented,"docs/2026-06-19-client-protocol-adr.md; docs/2026-06-19-client-protocol-tui-tasks.md","git diff --check",passed,,not_needed,passed
server_table_registry,Daemon Prototype,"As a future daemon layer I can manage local tables without transport code","Registry creates an in-memory table around client.LocalGame, joins the playable seat, serializes table mutation with a per-table mutex, submits actions with a version guard, and rejects stale state versions",implemented,"internal/app/server/registry.go; internal/app/server/registry_test.go","go test ./internal/app/server; make check",passed,"Initial registry state exposed no human legal actions until CreateTable advanced controller turns; lint also required exported error comments and no shadowed err","fixed by advancing before publish and lint cleanup",passed
durakd_status,Daemon Prototype,"As a developer I can verify the daemon binary entrypoint exists","durakd status initializes the in-memory registry and prints a local status line without opening network transport or adding auth",implemented,"cmd/durakd/main.go; cmd/durakd/main_test.go; internal/app/server/registry.go","go test ./cmd/durakd ./internal/app/server; go run ./cmd/durakd status; make check",passed,"Initial make check required handling fmt.Fprintf write error",fixed by returning the write error,passed
ssh_transport_choice,Remote Multiplayer,"As a product/engineering owner I know which remote transport comes first","Stack and architecture docs choose Wish-hosted SSH TUI before HTTP, gRPC, or protobuf APIs, and defer API transport until a real non-terminal client exists",documented,"docs/STACK.md; docs/ARCHITECTURE.md; docs/2026-06-19-client-protocol-tui-tasks.md","git diff --check",passed,,not_needed,passed
ssh_tui_daemon,Remote Multiplayer,"As a terminal player I can connect to a hosted TUI over SSH","durakd ssh starts a Wish server on localhost:23234, creates one local TUI game per SSH session, and stores the dev host key under user config unless overridden",implemented,"cmd/durakd/main.go; internal/adapters/ssh/server.go; internal/adapters/tui/model.go","go test ./cmd/durakd ./internal/adapters/ssh ./internal/adapters/tui; make check",passed,,not_needed,passed
ssh_game_options,Remote Multiplayer,"As a developer I can smoke hosted TUI games with reproducible local bots","durakd ssh accepts -seed for deterministic deals and -bot for simple, random, or heuristic local controllers while leaving AI provider and multiplayer table config out of scope",implemented,"cmd/durakd/main.go; internal/adapters/ssh/server.go; README.md","go test ./cmd/durakd ./internal/adapters/ssh; make check; SSH smoke with -seed 42 -bot random",passed,,not_needed,passed
ssh_shared_table,Remote Multiplayer,"As a hosted terminal player I can reconnect to one daemon-owned table while the process is alive","durakd ssh accepts -table to route sessions through an in-memory Registry table; the TUI drives the same minimal game contract for local and registry-backed games",implemented,"cmd/durakd/main.go; internal/adapters/ssh/server.go; internal/app/server/table_game.go; internal/adapters/tui/model.go","go test ./cmd/durakd ./internal/adapters/ssh ./internal/adapters/tui ./internal/app/server; make check; SSH smoke with -table demo",passed,,not_needed,passed
ssh_seat_aware_table,Remote Multiplayer,"As two hosted terminal players we can play different seats at one SSH table","durakd ssh -table creates a two-human in-memory table; SSH exec commands seat 0 and seat 1 attach sessions to separate hands, reserve occupied seats, release them on close, and refresh TUI state periodically",implemented,"internal/app/server/table.go; internal/app/server/registry.go; internal/app/server/table_game.go; internal/adapters/ssh/server.go; internal/adapters/tui/model.go","go test ./cmd/durakd ./internal/adapters/ssh ./internal/adapters/tui ./internal/app/server; make check; SSH smoke with -table demo seat 0/1",passed,,not_needed,passed
ssh_table_config,Remote Multiplayer,"As a hosted table owner I can choose table size and which seats are human","durakd ssh -table accepts -seats and -human-seats; non-human table seats use the selected local bot controller, and the TUI shows a waiting message when another seat must act",implemented,"cmd/durakd/main.go; internal/adapters/ssh/server.go; internal/adapters/tui/model.go; README.md","go test ./cmd/durakd ./internal/adapters/ssh ./internal/adapters/tui ./internal/app/server; make check; sentrux check_rules",passed,,not_needed,passed
